"","Spp_name","N","train_AUC_mean","train_AUC_se","test_AUC_mean","test_AUC_se","test_Thresh_mean","test_Thresh_se"
"1","b6",10,0.838291955766535,0.0278394527669924,0.685859028940963,0.0278484369986444,0.000989556446712303,0.00029587090344676
"2","bp1006",10,0.939556047289027,0.0105046276980952,0.852302019384384,0.0209995597192995,0.00180011551227055,0.000460874876838006
"3","bp131",10,0.893973111888065,0.000697328812230787,0.89143105825974,0.000825180688330709,0.75550860931584,0.00561757091025798
"4","bp132",10,0.95195305215953,0.00240639121549283,0.928219484686736,0.00278974671992071,0.0294295421987157,0.00562634782420721
"5","bp15",10,0.824776866402462,0.00106224833407104,0.816662231368494,0.00105317558119702,0.905422486118375,0.00108111885709004
"6","bp270",10,0.945128108354924,0.00199505101053795,0.936477976932346,0.002208769667254,0.0357540025274783,0.00259905035801246
"7","bp32",10,0.854164250439328,0.000722445555088213,0.849464078341521,0.000748858014818889,0.407674923998296,0.0102592711531847
"8","bp502",10,0.928584335684423,0.000450801047720418,0.926252447859435,0.000494715712695852,0.578501706017012,0.0137508936969278
"9","bp503",10,0.906654520592692,0.000681198653276452,0.905246324971951,0.000785450338516919,0.825090560958393,0.003753983615803
"10","bp506",10,0.825384077703318,0.00255339349204632,0.804128524244563,0.00223648061047956,0.0572071831427328,0.00213413746913992
"11","bp9",10,0.950154831930175,0.00113348060554088,0.935448080177717,0.00144370377775356,0.0384012718797651,0.00381216052712927
"12","d1",10,0.909915351182228,0.003244000022503,0.892695135101443,0.00381187145579964,0.0405773780704813,0.00337568239184666
"13","d101",10,0.914780026102938,0.000892862025848875,0.90642181371741,0.000852898040866678,0.152064600249934,0.00578408856783061
"14","d1013",10,0.925900126052772,0.00349187948140442,0.901399623885034,0.00317014407106938,0.0197425466030028,0.00212251750399073
"15","d102",10,0.981987271691572,0.000249931899534948,0.981377415803417,0.000346768131997218,0.785822718350224,0.00555553354694307
"16","d1029",10,0.967351671229159,0.00254354675837945,0.938668327648451,0.00251811452462825,0.00436708007934284,0.000976029747869922
"17","d103",10,0.939565392725472,0.000453277396064978,0.937958467918232,0.000371234059349568,0.822044104515639,0.00313400751132233
"18","d1032",10,0.853368797023156,0.000825706418490974,0.850058037113109,0.000742031286042648,0.571534918644799,0.0062845619416379
"19","d1039",10,0.987639227566529,0.00203150850286607,0.940970998046422,0.00907258292733625,0.0199608564965154,0.00655395089275221
"20","d104",10,0.856178877504711,0.000996625363111119,0.853219377641599,0.000856394911436947,0.700057183172688,0.00466305295834537
"21","d1042",10,0.988857922366047,0.000408799197600341,0.980940039283545,0.00162555251447452,0.0519911062630401,0.00875316051084347
"22","d1043",10,0.994303290843335,0.00024919928936841,0.988101335913125,0.000544408584500457,0.0321802173490223,0.00417036992453677
"23","d1047",10,0.913775797788016,0.00310415137088287,0.892644543421378,0.00227330845033805,0.0270540495776305,0.00247607315710947
"24","d1048",10,0.975868501012184,0.00104657493923154,0.954695400480162,0.0029802624956639,0.0364953850722073,0.00894934692491859
"25","d105",10,0.952694849039249,0.000428144383462496,0.950708857513383,0.000478118356290691,0.687814446497109,0.00803040331886823
"26","d1052",10,0.820659709343124,0.00607403034631454,0.791910867588577,0.00364810572777185,0.0429883435559734,0.00350477374669133
