Management Status,species,Scientific.Name,Common.Name,Use.for.Model.Fitting,guild
,bp1006,peprilus alepidotus,harvestfish,Yes,bp
Federally-Managed,bp131,peprilus triacanthus,butterfish,Yes,bp
,bp132,selene setapinnis,atlantic moonfish,Yes,bp
Federally-Managed,bp15,squalus acanthias,spiny dogfish,Yes,bp
,bp270,rhinoptera bonasus,cownose ray,Yes,bp
Federally-Managed,bp32,clupea harengus,atlantic herring,Yes,bp
Federally-Managed,bp502,illex illecebrosus,short-fin squid,Yes,bp
Federally-Managed,bp503,loligo pealei,atl long-fin squid,Yes,bp
,bp506,sepiola atlantica,bobtail squid ,Yes,bp
,bp9,carcharhinus plumbeus,sandbar (brown shark) shark,Yes,bp
,d1,myxine glutinosa,atlantic hagfish,Yes,d
Federally-Managed,d101,hippoglossus hippoglossus,atlantic halibut,Yes,d
Endangered,d1013,acipenser oxyrhynchus,atlantic sturgeon,Yes,d
,d102,hippoglossoides platessoides,american plaice flounder,Yes,d
,d1029,odontaspis taurus,sand tiger shark,Yes,d
Federally-Managed,d103,paralichthys dentatus,summer (fluke) flounder,Yes,d
Federally-Managed,d1032,raja laevis,barndoor skate,Yes,d
,d1039,urophycis chesteri,longfin hake,Yes,d
,d104,paralichthys oblongus,fourspot flounder,Yes,d
,d1042,busycon canaliculatium,channeled (smooth) whelk,Yes,d
,d1043,busycon carica,knobbed whelk,Yes,d
,d1047,echinarachnius parma,sand dollar,Yes,d
,d1048,libinia emarginata,spider crab,Yes,d
Federally-Managed,d105,pleuronectes ferrugineus,yellowtail flounder,Yes,d
,d1052,strongylocentrotus droebachiensis,sea urchin,Yes,d
Federally-Managed,d106,pleuronectes americanus,winter (blackback) flounder,Yes,d
Federally-Managed,d107,glyptocephalus cynoglossus,witch (grey sole) flounder,Yes,d
Prohibited,d108,scophtalmus aquosus,sand dab (windowpane) flounder,Yes,d
,d109,citharichthys arctifrons,gulfstream flounder,Yes,d
,d111,macroramphosus scolopax,longspine snipefish,Yes,d
,d112,zenopsis conchifera,buckler (john) dory,Yes,d
,d118,trinectes maculatus,hogchocker,Yes,d
,d126,trichiurus lepturus,atl cutlassfish,Yes,d
,d13,mustelus canis,smooth dogfish,Yes,d
,d133,selene vomer,lookdown,Yes,d
,d136,micropogonias undulatus,atlantic croaker,Yes,d
,d139,morone saxatilis,striped bass,Yes,d
,d14,scyliorhinus retiferæ,chain dogfish,Yes,d
Federally-Managed,d141,centropristis striata,black sea bass,Yes,d
Federally-Managed,d143,stenotomus chrysops,scup,Yes,d
,d145,cynoscion regalis,weakfish (squeteague sea trout),Yes,d
,d146,menticirrhus saxatilis,northern kingfish,Yes,d
,d147,pogonias cromis,black drum,Yes,d
,d149,leiostomus xanthurus,spot,Yes,d
Federally-Managed,d151,lopholatilus chamaeleonticeps,great northern tilefish,Yes,d
Federally-Managed,d155,sebastes fasciatus ,acadian redfish,Yes,d
,d156,helicolenus dactylopterus,black belly rosefish,Yes,d
,d158,antigonia capros,deepbody boarfish,Yes,d
,d16,squatina dumerili,atl angel shark,Yes,d
,d163,myoxocephalus octodecimspinosus,longhorn sculpin,Yes,d
,d164,hemitripterus americanus,sea raven,Yes,d
,d165,aspidophoroides monopterygius,alligatorfish,Yes,d
,d168,cyclopterus lumpus,lumpfish,Yes,d
,d171,prionotus carolinus,northern sea robin,Yes,d
,d172,prionotus evolans,striped sea robin,Yes,d
,d173,peristedion miniatum,armored sea robin,Yes,d
,d176,tautogolabrus adspersus,cunner (yellow perch),Yes,d
,d177,tautoga onitis,tautog (blackfish),Yes,d
,d179,astroscopus guttatus,northern stargazer,Yes,d
,d18,dasyatis say,bluntnose stingray,Yes,d
,d182,lumpenus lumpretaeformis,snakeblenny,Yes,d
,d19,myliobatis freminvillei,bullnose ray,Yes,d
