Species Groups,Common Name,Scientific Name,Full (Mean),Full (SD),Partial (Mean),Partial (SD),Surface Salinity,Bottom Salinity,Sea Surface Height,Depth,Surface Temper-ature,Bottom Temper-ature,Rugosity
Pelagic,buckler (john) dory,Zenopsis conchifera,75.24%,0.38%,58.31%,0.39%,2.33%,1.14%,1.04%,2.75%,1.27%,0.39%,0.05%
Pelagic,bay anchovy,Anchoa mitchilli,66.67%,0.89%,53.89%,0.83%,1.13%,0.83%,10.30%,5.21%,1.21%,0.80%,1.03%
Pelagic,bullnose ray,Myliobatis freminvillei,65.88%,0.68%,62.54%,0.75%,0.68%,0.52%,1.89%,0.05%,0.62%,2.11%,0.30%
Pelagic,swordfish,Xiphias gladius,63.60%,0.81%,53.86%,0.80%,1.52%,0.30%,1.18%,0.70%,2.34%,0.25%,0.19%
Pelagic,atlantic silverside,Menidia menidia,62.13%,1.17%,60.03%,1.13%,0.64%,0.52%,1.18%,6.59%,0.22%,1.13%,0.08%
Pelagic,striped bass,Morone saxatilis,57.55%,0.42%,48.18%,0.37%,1.34%,0.42%,2.22%,1.06%,1.44%,0.63%,0.86%
Pelagic,chub mackerel,Scomber japonicus,53.34%,1.19%,45.53%,0.81%,1.80%,3.85%,0.52%,1.72%,4.33%,2.25%,0.41%
Pelagic,short-fin squid,Illex illecebrosus,50.11%,0.31%,41.63%,0.32%,1.02%,4.78%,1.34%,2.11%,6.79%,1.54%,0.08%
Pelagic,bigeye scad,Selar crumenophthalmus,46.93%,2.97%,38.81%,2.72%,1.48%,1.69%,2.54%,0.94%,0.68%,2.20%,0.36%
Pelagic,scalloped hammerhead shark,Sphyrna lewin,45.42%,2.26%,35.70%,2.14%,4.61%,0.09%,1.51%,0.22%,2.75%,0.85%,0.00%
Pelagic,spanish mackerel,Scomberomorus maculatus,45.14%,2.44%,37.47%,2.14%,3.22%,3.26%,3.28%,0.73%,2.48%,0.99%,0.86%
Pelagic,atlantic moonfish,Selene setapinnis,44.10%,1.20%,36.62%,0.99%,1.14%,1.35%,4.92%,0.59%,1.19%,0.73%,1.28%
Pelagic,bluefish,Pomatomus saltatrix,43.84%,0.35%,35.11%,0.32%,2.72%,3.63%,1.09%,1.42%,3.40%,2.58%,0.04%
Pelagic,ocean sunfish mola,Mola mola,42.79%,2.58%,38.97%,2.03%,0.00%,5.28%,1.77%,0.00%,2.47%,7.88%,0.00%
Pelagic,atl long-fin squid,Loligo pealei,42.76%,0.30%,28.58%,0.28%,1.90%,2.47%,1.38%,1.50%,1.21%,2.70%,0.04%
Pelagic,cownose ray,Rhinoptera bonasus,42.52%,1.25%,39.95%,1.16%,0.83%,0.00%,2.04%,0.12%,3.16%,8.12%,0.05%
Pelagic,butterfish,Peprilus triacanthus,40.18%,0.31%,27.61%,0.26%,0.98%,4.27%,1.55%,2.51%,1.43%,2.27%,0.05%
Pelagic,mackerel scad,Decapterus macarellus,39.27%,3.68%,25.09%,2.78%,4.32%,7.71%,7.68%,0.01%,2.24%,3.60%,0.00%
Pelagic,rough scad,Trachurus lathami,38.03%,0.75%,28.72%,0.73%,1.52%,4.01%,1.59%,1.08%,1.85%,2.06%,0.57%
Pelagic,thresher shark,Alopias vulpinus,36.58%,1.98%,23.55%,1.55%,3.88%,3.03%,2.88%,0.91%,2.07%,1.79%,1.00%
Pelagic,alewife,Alosa pseudoharengus,34.26%,0.37%,20.01%,0.26%,3.03%,1.48%,0.90%,2.50%,4.90%,1.16%,0.12%
Pelagic,atlantic bonito,Sarda sarda,33.15%,5.16%,23.88%,3.62%,2.12%,5.08%,0.31%,0.00%,3.98%,3.33%,0.27%
Pelagic,atlantic menhaden,Brevoortia tyrannus,32.20%,0.92%,28.78%,0.71%,1.03%,0.49%,1.63%,3.45%,1.09%,0.73%,0.64%
