,Surface.Salinity,Bottom.Salinity,Sea.Surface.Height,Depth,Surface.Temper.ature,Bottom.Temper.ature,Rugosity,name
64,4.76,0.89,2.4,3.44,7.43,0.84,0.14,acadian redfish - sebastes fasciatus 
21,3.03,1.48,0.9,2.5,4.9,1.16,0.12,alewife - alosa pseudoharengus
86,5.98,2.98,1.15,7.85,8.88,0.95,0.9,alligatorfish - aspidophoroides monopterygius
118,0.81,2.59,0,2.14,5.86,0,1.7,american eel - anguilla rostrata
129,0.67,4.66,1.13,11.1,1.33,1,0.06,american lobster - homarus americanus
31,0.59,3.05,0.24,7.33,0.73,0.84,0.19,american plaice flounder - hippoglossoides platessoides
28,1.07,4.43,0.65,4.7,1.62,0.89,0.22,american shad - alosa sapidissima
42,3.18,2.97,0.71,4.33,2.12,0.46,0.15,armored sea robin - peristedion miniatum
75,5.56,3.09,4.42,0.71,2.06,4.4,1.36,atl angel shark - squatina dumerili
89,2.21,0.72,1.7,2.19,5.59,0.39,0.04,atl cutlassfish - trichiurus lepturus
15,1.9,2.47,1.38,1.5,1.21,2.7,0.04,atl long-fin squid - loligo pealei
101,1.07,2.42,0.86,1.45,1.54,1.18,0.03,atlantic argentine - argentina silus
32,1,0,4.24,10.51,4.93,3.19,0.18,atlantic batfish - dibranchus atlanticus
22,2.12,5.08,0.31,0,3.98,3.33,0.27,atlantic bonito - sarda sarda
38,0.97,4.26,0.78,3.91,1.5,2.11,0.29,atlantic cod - gadus morhua
33,0.51,0.33,4.63,5.52,1.04,1.41,0.14,atlantic croaker - micropogonias undulatus
109,3.58,0.24,0.55,1.48,3.15,0.4,0,atlantic hagfish - myxine glutinosa
94,1.22,4.68,0.66,4.03,1.57,2.63,0.45,atlantic halibut - hippoglossus hippoglossus
24,2.23,0.94,1.61,1.19,1.17,2.99,0.02,atlantic herring - clupea harengus
27,0.57,5.03,1.51,1.35,2.12,0.44,0.14,atlantic mackerel - scomber scombrus
23,1.03,0.49,1.63,3.45,1.09,0.73,0.64,atlantic menhaden - brevoortia tyrannus
12,1.14,1.35,4.92,0.59,1.19,0.73,1.28,atlantic moonfish - selene setapinnis
45,2.94,2.85,2.97,0.79,0.1,1.32,0,atlantic sharpnose shark - rhizoprionodon terraenova
5,0.64,0.52,1.18,6.59,0.22,1.13,0.08,atlantic silverside - menidia menidia
104,0.66,0.91,2,0.44,0.51,2.53,1.41,atlantic sturgeon - acipenser oxyrhynchus
72,0.91,2.29,0.86,2.54,3.17,2.81,0.68,atlantic wolffish - anarhichas lupus
105,2.26,4.22,1.9,6.29,2.61,2.05,0.45,barndoor skate - raja laevis
29,1.53,1.51,1.24,1.13,3.17,0.07,0.65,basking shark - cetorhinus maximus
2,1.13,0.83,10.3,5.21,1.21,0.8,1.03,bay anchovy - anchoa mitchilli
48,0.84,1.31,1.48,0.92,2.04,0.6,0.92,beardfish - polymixia lowei
9,1.48,1.69,2.54,0.94,0.68,2.2,0.36,bigeye scad - selar crumenophthalmus
77,2.14,1.58,0.64,5.24,1.18,0.65,0,black (hake whiting) - merluccius albidus
79,1.3,3.1,0.34,1.86,0.96,0.86,0.05,black belly rosefish - helicolenus dactylopterus
88,0.54,0,7.93,5.81,4.87,2.71,0,black drum - pogonias cromis
71,2.99,2.01,3.68,2.86,2.68,6.28,0.07,black sea bass - centropristis striata
124,0.53,0.51,0.52,1.4,0.7,0.73,0.25,blue crab - callinectes sapidus
26,2.44,2.27,0.5,1.17,2.44,0.73,0.12,blueback herring - alosa aestivalis
13,2.72,3.63,1.09,1.42,3.4,2.58,0.04,bluefish - pomatomus saltatrix
59,3.73,1.5,0.77,6.29,1.46,0.97,1.53,blueline tilefish - caulolatilus microps
54,2.6,0,2.99,0.91,2.73,3.75,0.13,bluntnose stingray - dasyatis say
